4, 39, 2
3, 31, 3
2, 36, 5
4, 28, 4
1, 38, 2
4, 44, 5
3, 33, 1
2, 23, 3
4, 22, 4
3, 29, 1
1, 41, 3
2, 39, 4
1, 41, 2
4, 46, 5
3, 40, 1
2, 33, 5
1, 28, 4
4, 31, 2
3, 34, 3
2, 31, 1
4, 20, 5
1, 41, 3
2, 30, 1
3, 49, 4
1, 45, 5
4, 41, 3
2, 34, 2
3, 30, 4
1, 45, 1
4, 46, 5
3, 36, 3
2, 30, 1
1, 27, 2
4, 28, 5
3, 29, 3
2, 45, 1
1, 41, 4
4, 29, 2
3, 45, 5
2, 35, 4
1, 40, 3
4, 30, 1
3, 26, 2
2, 34, 4
1, 29, 5
4, 39, 3
3, 49, 2
2, 46, 5
1, 39, 4
4, 43, 1
3, 25, 3
2, 24, 2
1, 22, 4
4, 39, 5
3, 44, 1
2, 28, 4
1, 26, 3
4, 49, 2
3, 45, 4
2, 36, 5
1, 43, 2
4, 44, 3
3, 35, 1
2, 40, 4
1, 25, 5
4, 30, 3
3, 48, 2
2, 36, 1
1, 44, 4
4, 47, 5
3, 39, 2
2, 23, 3
1, 21, 4
4, 47, 5
3, 25, 3
2, 46, 2
1, 41, 1
4, 27, 4
3, 42, 5
2, 21, 1
1, 23, 2
4, 29, 3
3, 44, 4
2, 40, 5
1, 28, 1
4, 31, 2
3, 22, 3
2, 33, 4
1, 44, 5
4, 21, 1
3, 26, 2
2, 30, 3
1, 40, 4
4, 32, 5
3, 28, 1
2, 31, 2
1, 33, 3
4, 38, 4
3, 25, 5
2, 47, 1
1, 27, 2
4, 22, 3
3, 39, 4
2, 45, 5
1, 49, 1
4, 28, 2
3, 32, 3
2, 29, 4
1, 47, 5
4, 38, 1
3, 33, 2
2, 43, 3
1, 21, 4
4, 48, 5
3, 25, 1
2, 31, 2
1, 42, 3
4, 30, 4
3, 35, 5
2, 48, 1
1, 32, 2
4, 41, 3
3, 29, 4
2, 38, 5
1, 26, 1
4, 40, 2
3, 24, 3
2, 42, 4
1, 33, 5
4, 23, 1
3, 28, 2
2, 45, 3
1, 34, 4
4, 22, 5
3, 39, 1
2, 26, 2
1, 48, 3
4, 20, 4
3, 45, 5
2, 21, 1
1, 44, 2
4, 29, 3
3, 33, 4
2, 47, 5
1, 23, 1
4, 31, 2
3, 36, 3
2, 42, 4
1, 27, 5
4, 39, 1
3, 28, 2
2, 47, 3
1, 45, 4
4, 38, 5
3, 29, 1
2, 30, 2
1, 34, 3
4, 20, 4
3, 48, 5
2, 35, 1
1, 44, 2
4, 31, 3
3, 39, 4
2, 24, 5
1, 32, 1
